# SUBTLEX-US word frequencies — the 20,000 most frequent surface forms.
#
# Brysbaert, M., & New, B. (2009). Moving beyond Kučera and Francis: A critical
# evaluation of current word frequency norms and the introduction of a new and
# improved word frequency measure for American English. Behavior Research
# Methods, 41(4), 977–990. https://doi.org/10.3758/BRM.41.4.977
#
# Corpus: 51 million words of American English film and television subtitles.
# Obtained through the ISC-licensed repackaging words/subtlex-word-frequencies
# (github.com/words/subtlex-word-frequencies, commit 1b16b4c, 2020-02-13), which
# keeps the Word and FREQcount columns of SUBTLEXus74286wordstextversion.txt.
# The authors permit redistribution of SUBTLEX-US for any purpose. This file is
# that list sorted by count, truncated to the first 20,000 rows, on 2026-09-12.
#
# Columns: rank, word, count. A word is capitalized when the corpus more often
# capitalizes it than not ("I", "Mr", "Congratulations"). Contraction fragments
# ("s", "t", "don") are present because the source splits on apostrophes.
# Surface forms, not lemmas. Generated — do not edit by hand.
597	sweet	7405
598	ten	7395
599	coffee	7371
600	lucky	7316
601	sound	7313
602	safe	7303
603	date	7218
604	leaving	7211
605	parents	7177
606	President	7174
607	himself	7168
608	seem	7131
609	lives	7124
610	air	7090
611	taken	7071
612	York	7069
613	picture	7061
614	ladies	7054
615	Lord	7046
616	sent	7038
617	fast	7010
618	happens	6996
619	Perhaps	6939
620	catch	6911
621	ride	6904
622	win	6867
623	kidding	6822
624	top	6805
625	scared	6803
626	dream	6798
627	sign	6797
628	meeting	6752
629	sense	6722
630	beat	6716
631	control	6662
632	drop	6661
633	cold	6638
634	weeks	6637
635	darling	6613
636	figure	6598
637	king	6592
638	poor	6583
639	throw	6570
640	asking	6546
641	Joe	6532
642	write	6467
643	cannot	6465
644	suppose	6416
645	small	6373
646	human	6363
647	piece	6349
648	boss	6339
649	hospital	6334
650	Uncle	6327
651	past	6312
652	calling	6311
653	known	6300
654	follow	6283
655	Sam	6281
656	movie	6271
657	ha	6260
658	straight	6244
659	Christmas	6244
660	weren	6237
661	words	6223
662	clean	6183
663	kiss	6179
664	looked	6166
665	feet	6157
666	evening	6155
667	million	6145
668	lie	6133
669	felt	6111
670	moving	6104
671	certainly	6067
672	step	6052
673	learn	6047
674	fall	6044
675	Bill	6041
676	questions	6016
677	finally	5989
678	takes	5986
679	class	5985
680	quiet	5978
681	wonder	5966
682	Goodbye	5942
683	law	5932
684	become	5894
685	General	5885
686	worked	5877
687	rather	5825
688	possible	5816
689	goddamn	5815
690	unless	5798
691	mad	5784
692	absolutely	5769
693	tired	5745
694	murder	5717
695	road	5709
696	Mike	5707
697	eye	5701
698	except	5696
699	somewhere	5688
700	explain	5670
701	Charlie	5668
702	less	5666
703	none	5641
704	loved	5627
705	giving	5613
706	seeing	5591
707	Tom	5588
708	secret	5585
709	wear	5576
710	worth	5569
711	act	5565
712	careful	5550
713	quick	5542
714	handle	5529
715	pass	5514
716	early	5510
717	report	5508
718	state	5500
719	busy	5433
720	turned	5388
721	table	5387
722	wake	5366
723	works	5357
724	broke	5355
725	ball	5353
726	Major	5343
727	seven	5327
728	mouth	5325
729	marry	5322
730	meant	5316
731	fault	5310
732	lunch	5310
733	Lieutenant	5306
734	Al	5306
735	expect	5299
736	Hmm	5291
737	Mama	5289
738	future	5278
739	paper	5271
740	officer	5265
741	hotel	5264
742	buddy	5247
743	thinks	5235
744	Agent	5235
745	talked	5226
746	blue	5222
747	American	5213
748	mistake	5200
749	Tv	5199
750	David	5196
751	ones	5177
752	wedding	5173
753	clothes	5158
754	weird	5156
755	changed	5148
756	court	5137
757	floor	5132
758	watching	5081
759	building	5078
760	earth	5074
761	dude	5071
762	others	5061
763	longer	5046
764	forgot	5045
765	finish	5045
766	ship	5043
767	club	5038
768	attention	5032
769	eight	5010
770	worse	5002
771	pain	4995
772	Ben	4994
773	th	4989
774	sing	4977
775	blow	4976
776	choice	4975
777	ls	4967
778	Ray	4966
779	birthday	4958
780	stick	4953
781	relax	4936
782	yesterday	4935
783	honor	4912
784	smart	4909
785	Colonel	4909
786	boat	4885
787	plane	4872
788	month	4854
789	lovely	4853
790	given	4851
791	train	4848
792	L	4841
793	fair	4832
794	worried	4831
795	Ooh	4827
796	needed	4818
797	sitting	4814
798	security	4810
799	cover	4808
800	across	4801
801	Paul	4801
802	bag	4796
803	terrible	4795
804	caught	4791
805	song	4778
806	spend	4757
807	horse	4737
808	ring	4730
809	sell	4705
810	return	4676
811	personal	4675
812	C	4675
813	message	4667
814	system	4667
815	afternoon	4666
816	Bob	4666
817	hasn	4625
818	happening	4618
819	tough	4616
820	Christ	4597
821	Peter	4596
822	quit	4595
823	count	4588
824	box	4577
825	missed	4568
826	present	4562
827	kept	4559
828	charge	4559
829	information	4557
830	fool	4556
831	simple	4555
832	middle	4549
833	calm	4541
834	surprise	4534
835	forever	4529
836	decided	4521
837	dark	4519
838	anywhere	4501
839	miles	4500
840	swear	4496
841	land	4494
842	Mary	4492
843	missing	4484
844	cute	4475
845	lying	4472
846	master	4450
847	dress	4447
848	strong	4430
849	key	4430
850	fix	4426
851	interesting	4421
852	wearing	4410
853	strange	4408
854	Johnny	4408
855	voice	4394
856	rock	4394
857	cop	4393
858	window	4386
859	bar	4385
860	totally	4377
861	interested	4374
862	appreciate	4373
863	army	4370
864	paid	4369
865	short	4367
866	record	4365
867	bought	4362
868	card	4357
869	certain	4354
870	y	4345
871	college	4344
872	fly	4335
873	evidence	4335
874	bank	4334
875	Besides	4328
876	completely	4303
877	ran	4296
878	cops	4290
879	B	4289
880	test	4288
881	history	4280
882	finished	4269
883	born	4268
884	proud	4265
885	fish	4258
886	join	4255
887	lead	4246
888	smell	4240
889	near	4238
890	apartment	4235
891	enjoy	4222
892	letter	4213
893	situation	4207
894	trip	4202
895	Harry	4193
896	Mark	4183
897	store	4178
898	Yo	4177
899	amazing	4167
900	star	4149
901	Danny	4148
902	accident	4146
903	Il	4139
904	imagine	4133
905	Doc	4122
906	pleasure	4118
907	ought	4118
908	list	4110
909	rich	4100
910	calls	4097
911	Jimmy	4091
912	service	4076
913	entire	4070
914	difference	4066
915	judge	4063
916	ice	4057
917	lawyer	4055
918	fat	4051
919	Alright	4044
920	instead	4043
921	age	4039
922	station	4033
923	realize	4032
924	gold	4026
925	J	4026
926	seat	4018
927	liked	4017
928	hundred	4015
929	summer	4012
930	dollars	3998
931	standing	3994
932	Angel	3992
933	mess	3985
934	America	3974
935	Chief	3973
936	killing	3965
937	radio	3936
938	hungry	3931
939	problems	3931
940	marriage	3930
941	brain	3928
942	soul	3925
943	forgive	3917
944	drunk	3904
945	Henry	3904
946	deep	3896
947	figured	3893
948	likes	3889
949	girlfriend	3881
950	folks	3878
951	slow	3877
952	private	3874
953	during	3872
954	Ed	3858
955	attack	3853
956	beer	3850
957	definitely	3848
958	stopped	3844
959	partner	3836
960	walking	3826
961	area	3821
962	dangerous	3817
963	offer	3810
964	scene	3807
965	third	3801
966	upset	3800
967	bus	3783
968	owe	3782
969	shoes	3782
970	driving	3780
971	English	3777
972	Richard	3765
973	group	3762
974	ln	3753
975	kick	3744
976	evil	3731
977	Joey	3727
978	joke	3724
979	fell	3723
980	truck	3716
981	teach	3715
982	E	3702
983	ground	3696
984	green	3696
985	loves	3695
986	cash	3694
987	forward	3689
988	honest	3689
989	boyfriend	3684
990	park	3678
991	single	3676
992	position	3676
993	respect	3644
994	broken	3634
995	crime	3633
996	wrote	3629
997	public	3625
998	Max	3620
999	Mommy	3617
1000	Congratulations	3616
1001	grab	3614
1002	fighting	3611
1003	art	3611
1004	favor	3609
1005	upstairs	3607
1006	wall	3605
1007	force	3604
1008	seconds	3603
1009	jail	3602
1010	push	3598
1011	prove	3590
1012	normal	3589
1013	protect	3583
1014	machine	3583
1015	field	3580
1016	R	3579
1017	spent	3574
1018	feels	3569
1019	speaking	3565
1020	named	3564
1021	jump	3561
1022	starting	3558
1023	saved	3558
1024	nose	3557
1025	hide	3554
1026	sun	3553
1027	church	3553
1028	peace	3550
1029	Professor	3548
1030	Bobby	3547
1031	share	3545
1032	French	3541
1033	Steve	3540
1034	bullshit	3537
1035	moved	3536
1036	picked	3534
1037	thousand	3534
1038	Paris	3531
1039	holding	3530
1040	Billy	3525
1041	fear	3523
1042	using	3520
1043	la	3518
1044	tape	3511
1045	Tony	3503
1046	suit	3499
1047	pictures	3477
1048	Holy	3475
1049	putting	3467
1050	involved	3465
1051	gas	3457
1052	books	3456
1053	relationship	3452
1054	neither	3451
1055	nine	3441
1056	Pop	3441
1057	rules	3438
1058	bother	3436
1059	especially	3428
1060	nervous	3425
1061	whether	3424
1062	dying	3416
1063	stuck	3399
1064	round	3393
1065	dirty	3389
1066	cat	3383
1067	breakfast	3381
1068	idiot	3377
1069	space	3369
1070	lived	3368
1071	prison	3368
1072	carry	3361
1073	James	3358
1074	cry	3348
1075	bastard	3348
1076	P	3345
1077	smoke	3337
1078	arm	3336
1079	film	3328
1080	government	3327
1081	tree	3315
1082	foot	3311
1083	contact	3305
1084	knock	3299
1085	agree	3298
1086	pardon	3297
1087	gives	3290
1088	gift	3290
1089	South	3288
1090	dreams	3285
1091	Jim	3277
1092	hat	3273
1093	sake	3272
1094	sweetheart	3272
1095	board	3272
1096	seriously	3270
1097	North	3258
1098	department	3256
1099	patient	3246
1100	awful	3234
1101	sad	3232
1102	wondering	3231
1103	roll	3227
1104	Robert	3222
1105	beginning	3219
1106	usually	3214
1107	grand	3214
1108	Sergeant	3210
1109	laugh	3206
